Abóbora aos Pedaços,Continente,Unidade,emb. 750 gr
Alho Picado,Continente,Unidade,emb. 150 gr
Feijão Verde Redondo,Continente,Unidade,emb. 750 gr
Esparregado de Espinafres,Iglo,Unidade,emb. 750 gr
Esparregado de Espinafres,Continente,Unidade,emb. 700 gr
Brócolos,Continente,Unidade,emb. 1 kg
Couve Flor,Continente,Unidade,emb. 750 gr
Espinafres em Folha,Continente,Unidade,emb. 750 gr
Couve de Bruxelas,Continente,Unidade,emb. 750 gr
Cenoura Baby,Continente,Unidade,emb. 750 gr
Ervilhas,Iglo,Unidade,emb. 700 gr
Brócolos,Bonduelle,Unidade,emb. 400 gr
"Mistura de Brócolos, Couve-flor e Cenoura",Continente,Unidade,emb. 1 kg
Ervilhas Baby,Continente,Unidade,emb. 400 gr
Cogumelos Laminados,Continente,Unidade,emb. 400 gr
Mistura de Ervilhas e Cenoura,Continente,Unidade,emb. 750 gr
Mistura de Feijão Verde e Cenoura,Continente,Unidade,emb. 400 gr
Ervilhas,Continente,Unidade,emb. 1 kg
Tomate em Cubos,Continente,Unidade,emb. 400 gr
Mistura de Dois Pimentos,Continente,Unidade,emb. 400 gr
Ervilhas,Continente Bio,Unidade,emb. 750 gr
Esparregado de Grelos,Continente Seleção,Unidade,emb. 350 gr
Mistura de Cogumelos,Continente,Unidade,emb. 400 gr
Alho Francês Cortado,Continente,Unidade,emb. 750 gr
Ervilhas,Continente,Unidade,emb. 1 kg
Ervilhas,Iglo,Unidade,"emb. 1,125 kg"
Coentros Picados,Continente,Unidade,emb. 150 gr
Cebola Picada,Iglo,Unidade,emb. 350 gr
Alho Picado,Iglo,Unidade,emb. 150 gr
Ervilhas Primavera,Iglo,Unidade,emb. 500 gr
Milho Doce,Continente,Unidade,emb. 750 gr
Ervilhas,Continente,Unidade,emb. 400 gr
"Mistura de Curgete, Beringela e Pimentos Grelhados",Continente,Unidade,emb. 400 gr
Salteado de Espinafres com Alho,Continente,Unidade,emb. 750 gr
Veggie Bowls Trigo Sarraceno e Brócolos,Iglo Green Cuisine,Unidade,emb. 350 gr
Jardineira,Continente,Unidade,emb. 750 gr
Esparregado de Espinafres,Continente,Unidade,emb. 350 gr
Veggie Bowls de Quinoa e Abóbora,Iglo Green Cuisine,Unidade,emb. 350 gr
Espinafres Mil-Folhas,Bonduelle,Unidade,emb. 400 gr
Morangos,Continente,Unidade,emb. 750 gr
Salsa Picada,Continente,Unidade,emb. 150 gr
Mirtilos,Continente,Unidade,emb. 400 gr
Brócolos,Iglo,Unidade,emb. 533 gr
Macedónia,Continente,Unidade,emb. 1 kg
Cubos de Curgete,Origens Bio,Unidade,emb. 300 gr
Couscous de Quinoa e Vegetais,Continente,Unidade,emb. 300 gr
Mistura de Frutos Silvestres,Continente,Unidade,emb. 650 gr
Mistura de Legumes Orientais,Continente,Unidade,emb. 750 gr
"Refeição Vegetariana de Cevada, Ervilhas e Espinafres",Continente Equilíbrio,Unidade,emb. 350 gr
Salteado Rústico,Bonduelle,Unidade,emb. 400 gr
Framboesas,Continente,Unidade,emb. 500 gr
Salteado da Horta,Bonduelle,Unidade,emb. 400 gr
Veggie Bowls de Couscous e Edamame,Iglo Green Cuisine,Unidade,emb. 350 gr
Mistura de Legumes Mediterrâneos,Continente,Unidade,emb. 750 gr
Salteado de Grelos com Alho,Continente,Unidade,emb. 750 gr
Veggie Bowls de Bulgur e Courgette,Iglo Green Cuisine,Unidade,emb. 350 gr
Salteado de Legumes Estilo Parisino,Bonduelle,Unidade,emb. 400 gr
Jardineira,Iglo,Unidade,emb. 650 gr
Favas,Continente,Unidade,emb. 1 kg
Riced Veggies Tricolor,Continente,Unidade,emb. 500 gr
Grelos Mil-Folhas,Bonduelle,Unidade,emb. 400 gr
Espargos Verdes,Continente,Unidade,emb. 300 gr
Mistura para Refogado,Continente,Unidade,emb. 250 gr
Ervilhas Primavera,Iglo,Unidade,emb. 800 gr
Sopa de Legumes,Iglo,Unidade,emb. 750 gr
Mistura de Legumes Estilo Italiano,Continente,Unidade,emb. 750 gr
Sorvete de Açaí e Guaraná,Native Açaí,Unidade,emb. 160 ml
Ervilhas,Bonduelle,Unidade,emb. 400 gr
Mistura de Legumes Vaporizados,Bonduelle,Unidade,emb. 750 gr
Favas,Iglo,Unidade,emb. 700 gr
Sorvete de Açaí com Stevia,Native Açaí,Unidade,emb. 160 ml
Salteado do Campo,Bonduelle,Unidade,emb. 750 gr
Curgete Verde,Continente,Quilo,Quant. Mínima = 500 gr (1 un)
Cenoura Embalada,Continente,Unidade,emb. 1 kg
Couve Brócolo,Continente,Quilo,Quant. Mínima = 500 gr (1 un)
Pepino,Continente,Quilo,Quant. Mínima = 300 gr (1 un)
Cebola,Continente,Unidade,"emb. 1,5 kg"
Espinafre Baby Leaf,Continente,Unidade,emb. 170 gr
Tomate em Cacho,Continente,Quilo,Quant. Mínima = 480 gr (3 un)
Cenoura,Continente,Quilo,Quant. Mínima = 680 gr (4 un)
Alho Francês Cortado,Continente,Unidade,emb. 300 gr
Alface Frisada,Continente,Quilo,Quant. Mínima = 800 gr (1 un)
Tomate Redondo,Continente,Quilo,Quant. Mínima = 690 gr (3 un)
Batata Vermelha,Continente,Unidade,emb. 3 kg
Cebola Nova,Continente,Quilo,Quant. Mínima = 400 gr (2 un)
Batata Doce,Continente,Quilo,Quant. Mínima = 1 kg (2 un)
Batata Branca,Continente,Unidade,emb. 3 kg
Nabo sem Rama,Continente,Quilo,Quant. Mínima = 500 gr (2 un)
Couve Flor Inteira,Continente,Quilo,"Quant. Mínima = 1,4 kg (1 un)"
Tomate Cherry Vermelho,Continente,Unidade,emb. 250 gr
Pimento Vermelho,Continente,Quilo,Quant. Mínima = 400 gr (1 un)
Alho Seco,Continente,Unidade,emb. 400 gr
Cebola Roxa,Continente,Quilo,Quant. Mínima = 320 gr (2 un)
Couve Coração Inteira,Continente,Quilo,"Quant. Mínima = 1,1 kg (1 un)"
Salada Aromática,Continente,Unidade,emb. 150 gr
Cogumelo Marron,Continente,Unidade,emb. 300 gr
Tomate Cherry Trimix,Continente,Unidade,emb. 250 gr
Abóbora Manteiga (Butternut) Inteira,Continente,Quilo,"Quant. Mínima = 1,3 kg (1 un)"
Tomate Chucha,Continente,Quilo,Quant. Mínima = 560 gr (4 un)
Batata Vermelha,Continente,Quilo,Quant. Mínima = 600 gr (2 un)
Cogumelo Branco Inteiro,Continente,Unidade,emb. 300 gr
Tomate Mini Chucha Vermelho,Continente,Unidade,emb. 250 gr
Batata Doce Polpa Laranja,Continente,Unidade,emb. 1 kg
Cenoura Biológica,Continente Bio,Unidade,emb. 500 gr
Alho seco,Continente,Quilo,Quant. Mínima = 200 gr (2 un)
Cogumelo Branco Laminado,Continente,Unidade,emb. 250 gr
Rúcula Selvagem,Continente,Unidade,emb. 100 gr
